"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 10:29:45 GMT 2024","Wed Jun 05 10:29:46 GMT 2024","1171","tests.orangehrm","test_demo_page","","","","test_demo_page_case[test_case1]",""
"broken","Wed Jun 05 10:29:41 GMT 2024","Wed Jun 05 10:29:41 GMT 2024","0","tests.catchoftheday","test_landing_page","","","","test_add_deal_to_cart",""
"passed","Wed Jun 05 10:29:48 GMT 2024","Wed Jun 05 10:29:48 GMT 2024","38","tests.saucedemo","test_checkout","","","","test_add_to_cart[chromium]",""
"passed","Wed Jun 05 10:29:52 GMT 2024","Wed Jun 05 10:29:52 GMT 2024","7","tests.saucedemo","test_logout","","","","test_login_with_standard_user[chromium]",""
"passed","Wed Jun 05 10:29:46 GMT 2024","Wed Jun 05 10:29:47 GMT 2024","1178","tests.orangehrm","test_demo_page","","","","test_demo_page_case1",""
"passed","Wed Jun 05 10:29:49 GMT 2024","Wed Jun 05 10:29:49 GMT 2024","271","tests.saucedemo","test_checkout","","","","test_checkout_process[chromium]",""
"passed","Wed Jun 05 10:29:50 GMT 2024","Wed Jun 05 10:29:50 GMT 2024","11","tests.saucedemo","test_login_page","","","","test_login_with_standard_user[chromium]",""
"passed","Wed Jun 05 10:29:48 GMT 2024","Wed Jun 05 10:29:48 GMT 2024","83","tests.saucedemo","test_checkout","","","","test_remove_product_from_cart[chromium]",""
"broken","Wed Jun 05 10:29:39 GMT 2024","Wed Jun 05 10:29:39 GMT 2024","0","tests.catchoftheday","test_landing_page","","","","test_landing_page",""
"passed","Wed Jun 05 10:29:50 GMT 2024","Wed Jun 05 10:29:50 GMT 2024","81","tests.saucedemo","test_login_page","","","","test_login_failure[chromium]",""
"passed","Wed Jun 05 10:29:43 GMT 2024","Wed Jun 05 10:29:45 GMT 2024","1376","tests.orangehrm","test_demo_page","","","","test_demo_page_case[test_case0]",""
