"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 10:34:11 GMT 2024","Wed Jun 05 10:34:11 GMT 2024","40","tests.saucedemo","test_checkout","","","","test_add_to_cart[chromium]",""
"passed","Wed Jun 05 10:34:13 GMT 2024","Wed Jun 05 10:34:13 GMT 2024","15","tests.saucedemo","test_login_page","","","","test_login_with_standard_user[chromium]",""
"passed","Wed Jun 05 10:34:12 GMT 2024","Wed Jun 05 10:34:12 GMT 2024","75","tests.saucedemo","test_checkout","","","","test_remove_product_from_cart[chromium]",""
"passed","Wed Jun 05 10:34:15 GMT 2024","Wed Jun 05 10:34:15 GMT 2024","7","tests.saucedemo","test_logout","","","","test_login_with_standard_user[chromium]",""
"broken","Wed Jun 05 10:33:39 GMT 2024","Wed Jun 05 10:34:10 GMT 2024","31013","tests.orangehrm","test_demo_page","","","","test_demo_page_case1",""
"passed","Wed Jun 05 10:34:13 GMT 2024","Wed Jun 05 10:34:13 GMT 2024","90","tests.saucedemo","test_login_page","","","","test_login_failure[chromium]",""
"failed","Wed Jun 05 10:33:15 GMT 2024","Wed Jun 05 10:33:21 GMT 2024","5606","tests.catchoftheday","test_landing_page","","","","test_landing_page",""
"passed","Wed Jun 05 10:34:12 GMT 2024","Wed Jun 05 10:34:12 GMT 2024","261","tests.saucedemo","test_checkout","","","","test_checkout_process[chromium]",""
"passed","Wed Jun 05 10:33:37 GMT 2024","Wed Jun 05 10:33:39 GMT 2024","1196","tests.orangehrm","test_demo_page","","","","test_demo_page_case[test_case1]",""
"passed","Wed Jun 05 10:33:36 GMT 2024","Wed Jun 05 10:33:37 GMT 2024","1524","tests.orangehrm","test_demo_page","","","","test_demo_page_case[test_case0]",""
"passed","Wed Jun 05 10:33:21 GMT 2024","Wed Jun 05 10:33:33 GMT 2024","11720","tests.catchoftheday","test_landing_page","","","","test_add_deal_to_cart",""
